gene	maximum_effective_size	size
ENO1-AS1	456	1060
RNU6-304P	107	107
HMGN2P17	743	743
RP3-477M7.5	352	352
RP3-477M7.6	163	163
CA6	1493	29226
RN7SL451P	299	299
SLC2A7	1944	23451
SLC2A5	4085	53373
ENSG10010139882.1	184	184
GPR157	5197	28798
MIR34AHG	4457	50896
MIR34A	110	110
LNCTAM34A	1265	14281
H6PD	9147	36564
SPSB1	3106	76639
CTD-2510L9.2	1765	1765
LINC02606	2442	15471
RNA5SP40	110	110
RP13-392I16.1	708	2380
SLC25A33	3865	45709
RP13-15M17.1	559	559
TMEM201	3851	25967
PIK3CD	5483	77384
PIK3CD-AS1	1823	1977
RP11-558F24.2	421	1799
PIK3CD-AS2	939	15130
CLSTN1	4760	95059
MZT1P1	246	419
RP11-84A14.7	1983	1983
CTNNBIP1	3006	62061
RP11-84A14.5	424	1837
RP11-84A14.8	762	7421
LZIC	4989	21295
RP11-84A14.4	440	7052
NMNAT1	3734	42074
RN7SKP269	319	319
TMEM274P	444	10216
MIR5697	78	78
RP11-807G9.2	436	1428
RBP7	861	18816
UBE4B	6184	148408
RP11-496H15.2	337	337
PGAM1P11	680	978
RNU6-828P	107	107
KIF1B	10855	171034
ENSG00000264881	86	86
RNU6-37P	107	107
RN7SL731P	293	293
RP4-736L20.4	1392	5245
RP4-736L20.5	1369	2017
PGD	2268	21920
RP4-736L20.3	797	797
CENPS-CORT	1469	22052
CENPS	914	12376
CORT	914	1968
DFFA	6035	16008
RP5-1113E3.3	467	784
PEX14	1922	158471
RP4-734G22.4	2876	4231
RN7SL614P	280	280
CASZ1	7934	160047
RP4-734G22.3	7923	15093
HSPE1P24	238	238
C1orf127	2761	35567
CFL1P6	494	820
TARDBP	4185	18185
MASP2	2455	20717
SRM	1260	5437
EXOSC10	2796	33252
RP4-635E18.7	2682	4627
EXOSC10-AS1	487	2426
MTOR	8721	156017
MTOR-AS1	705	5640
RNU6-537P	103	103
ANGPTL7	2224	6627
RNU6-291P	107	107
RPL39P6	150	150
UBIAD1	3654	22852
UBE2V2P3	437	736
RP4-796F18.3	742	7360
MTCYBP45	565	565
DISP3	5265	58397
RP11-149P14.2	1051	1214
LINC01647	1351	3891
RP3-330O12.5	2094	19859
FBXO2	2215	18768
FBXO44	3320	8953
FBXO6	1444	10155
MAD2L2	1860	17171
DRAXIN	7365	34148
AGTRAP	1130	18719
C1orf167	4545	27799
C1orf167-AS1	1868	2543
MTHFR	8378	20733
CLCN6	5631	41984
ENSG10010138681.1	173	173
ENSG10010135835.1	149	149
NPPA	855	2637
ENSG10010134403.1	108	108
NPPB	708	1482
SBF1P2	2637	2637
RP5-934G17.7	1715	6359
RNU5E-1	120	120
RNU5E-4P	120	120
KIAA2013	2819	6838
PLOD1	2976	41334
RP5-1077B9.6	595	595
MFN2	4772	35031
RP5-1077B9.5	93	93
MIIP	1709	12580
MIR6729	65	65
RN7SL649P	275	275
TNFRSF8	3760	80905
RNU6-777P	104	104
RPL23AP89	255	255
RP11-426M1.3	1196	3824
MIR7846	96	96
TNFRSF1B	3687	42238
MIR4632	61	61
RPL10P17	316	316
SNORA70	153	138
VPS13D	16357	282018
SNORA59A	152	152
LINC02766	438	697
DHRS3	2201	50301
RNU6ATAC18P	101	101
MIR6730	67	67
RP11-474O21.5	345	345
AADACL4	2027	22992
RP11-474O21.2	112	112
AADACL3	4055	12651
C1orf158	3564	17500
PRAMEF12	2889	4169
PRAMEF1	2160	5232
LINC01784	378	474
PRAMEF11	1845	6806
PRAMEF30P	1417	3233
HNRNPCL1	1134	1344
PRAMEF2	1642	4824
PRAMEF4	1840	6990
PRAMEF10	1525	5375
PRAMEF7	1592	3873
RNU6-1072P	107	107
PRAMEF29P	1139	2092
PRAMEF6	1720	9109
PRAMEF28P	1450	2792
PRAMEF27	1947	7100
HNRNPCL3	1897	2110
PRAMEF25	1863	9208
PRAMEF34P	1447	2793
PRAMEF35P	891	1287
HNRNPCL2	1156	1367
PRAMEF36P	1452	2798
RP13-221M14.2	384	480
PRAMEF26	1863	7057
HNRNPCL4	1718	1718
PRAMEF9	2465	7612
PRAMEF13	2163	5222
PRAMEF18	2067	3402
PRAMEF31P	1371	2790
PRAMEF5	1720	9103
PRAMEF32P	1068	2089
RNU6-771P	107	107
PRAMEF8	1844	4140
PRAMEF33	1518	5369
PRAMEF15	1865	7018
RP11-219C24.10	384	480
PRAMEF14	2164	5243
PRAMEF19	1440	2834
PRAMEF17	1578	2998
PRAMEF20	1502	4978
LRRC38	2168	39031
RP4-597A16.2	477	3051
BRWD1P1	371	694
PDPN	3104	34493
RNA5SP41	101	101
CTA-520D8.2	379	2600
ENSG10010140100.1	130	130
PRDM2	7957	124882
KAZN	6874	1225252
RNU6-1265P	103	103
RP11-344F13.1	1239	82559
KAZN-AS1	1404	81149
TBCAP2	326	485
RP5-864I18.1	1453	3259
TMEM51-AS1	7100	41804
TMEM51	1971	67947
C1orf195	441	6974
MFFP1	710	1018
ZBTB2P1	966	1177
FHAD1	5610	163763
FHAD1-AS1	3105	17197
RP3-467K16.7	727	1299
RP3-467K16.4	5178	6455
EFHD2	2422	20452
CTRC	3482	10801
CELA2A	916	15364
CELA2B	915	25487
CASP9	4463	35703
DNAJC16	6299	65567
SCARNA21B	140	140
RP4-680D5.8	346	346
AGMAT	3095	13353
RP4-680D5.2	2845	17491
CHCHD2P6	447	447
RNU7-179P	68	68
CD24P1	225	225
DDI2	10667	51587
RSC1A1	1854	1854
RP4-680D5.9	256	256
PLEKHM2	4134	50450
RP11-288I21.1	755	16585
SLC25A34	3129	5135
SLC25A34-AS1	639	9846
TMEM82	1443	5484
FBLIM1	3498	29988
RPL12P14	490	490
UQCRHL	2180	2180
RP11-169K16.8	438	438
FLJ37453	2473	13674
SPEN	12385	104362
RP1-134O19.3	211	211
ZBTB17	2770	34264
RP11-5P18.1	563	563
RP11-5P18.3	260	260
RP11-5P18.11	236	236
TBC1D3P6	962	4881
SRARP	3039	4572
RP11-5P18.5	466	512
HSPB7	2702	5567
CLCNKA	3060	15176
RP11-5P18.10	704	4852
CLCNKB	3970	17060
FAM131C	1720	15883
EPHA2	3946	31733
RP11-276H7.2	904	2119
RP11-276H7.3	544	2618
ARHGEF19-AS1	439	504
ARHGEF19	3322	14799
ANO7L1	1720	12119
RP4-733M16.8	2662	2662
CPLANE2	1574	5492
MT1XP1	186	186
FBXO42	6227	105641
SZRD1	3480	45571
RPL22P3	381	381
SPATA21	3619	50308
NECAP2	4619	19358
LINC01772	3245	7534
CROCCP3	5368	31822
RNU1-1	164	164
RP4-798A10.7	1110	1110
RP4-798A10.8	1558	6755
RP4-798A10.4	327	1103
LINC01783	1548	1764
RNU1-6P	144	144
PDE4DIPP8	882	3881
NBPF1	5932	51244
RP5-1182A14.5	339	339
CROCCP2	2773	38980
RP5-1182A14.8	166	343
MST1P2	2291	4668
RP1-163M9.8	817	10646
RNU1-3	164	164
RP5-875O13.7	1351	7653
EIF1AXP1	435	435
ESPNP	3693	32819
RP1-163M9.7	406	4049
RP5-1182A14.7	819	10652
CROCC	6660	232692
CROCCP4	573	10689
RNU1-4	164	164
MST1L	3995	15328
RP11-108M9.1	735	1873
PDE4DIPP9	882	3878
MIR3675	73	73
RP11-108M9.3	2520	12715
RNU1-5P	144	144
RP11-108M9.4	1512	2130
RP11-108M9.5	508	508
RNU1-2	164	164
RP11-108M9.6	438	438
MFAP2	2371	6131
RP1-37C10.7	385	1491
RP1-37C10.3	636	26166
ATP13A2	3996	25971
RP1-37C10.8	312	6690
SDHB	1015	35311
PADI2	4361	52691
LINC02783	4676	7835
RP11-380J14.4	1228	8502
PADI1	3846	40880
PADI3	3189	35136
MIR3972	87	87
PADI4	2267	55810
PADI6	2396	29504
RCC2-AS1	311	623
RCC2	4040	32918
ARHGEF10L	4625	158177
LINC02810	1025	32354
ACTL8	1841	71731
RP11-658E23.1	2013	29901
LINC01654	2471	8756
IGSF21	1892	270686
RP11-174G17.3	6473	6473
IGSF21-AS1	430	12418
RP11-422P22.1	491	2686
KLHDC7A	5045	5045
DYNLL1P3	266	266
RP1-8B22.2	223	223
PAX7	6213	118021
TAS1R2	2542	20084
ALDH4A1	3139	31295
MIR4695	74	74
MIR1290	78	78
IFFO2	6179	52397
RP5-1126H10.2	3402	3402
UBR4	15892	135757
EMC1-AS1	507	30204
EMC1	6640	35868
MRTO4	2049	8324
RP4-657E11.11	339	1787
AKR7L	1984	8213
AKR7A3	1215	6198
RP4-657E11.10	525	824
AKR7A2	1360	8180
RNU6-1099P	107	107
SLC66A1	2175	16975
CAPZB	6180	146765
RN7SL277P	288	288
MICOS10	3723	145419
RNU4-28P	141	141
RP5-1056L3.1	207	5031
NBL1	2160	61478
MICOS10-NBL1	999	59861
RP5-1056L3.3	455	455
HTR6	3800	16092
TMCO4	2946	117706
RNF186	1255	1255
RP11-91K11.2	447	5136
OTUD3	6515	30551
PLA2G2E	785	3609
RN7SL304P	301	301
PLA2G2A	1306	4986
PLA2G5	1918	63733
PLA2G2D	2651	7628
PLA2G2F	4129	11059
RP3-340N1.2	2493	6398
PLA2G2C	3249	25266
UBXN10	5562	9955
LINC01757	621	1570
RP3-340N1.7	1548	2988
VWA5B1	9143	68644
RP4-745E8.2	229	28977
LINC01141	2993	70656
RP4-749H3.2	376	950
RP4-749H3.4	1156	2716
RP4-749H3.3	674	1619
CAMK2N1	2326	3820
MUL1	2428	8704
RPS4XP4	763	763
FAM43B	2448	2448
CDA	809	29818
PINK1	3821	18054
MIR6084	110	110
PINK1-AS	4443	9537
DDOST	2126	9778
KIF17	3969	54004
RP5-930J4.5	479	1280
SH2D5	3898	13107
RP5-930J4.2	299	1073
HP1BP3	6406	47058
EIF4G3	7832	370597
RNU7-200P	62	62
MIR1256	119	119
RPS15AP6	385	385
RP11-487E1.2	115	115
HSPE1P27	296	607
RP3-329E20.3	1111	1111
ECE1	5099	128326
RP3-329E20.2	723	1170
ECE1-AS1	2479	6585
PPP1R11P1	376	376
PDE4DIPP10	649	1834
RP11-293F5.1	607	1595
NBPF2P	661	3343
HS6ST1P1	1234	1234
CROCCP5	830	3241
NBPF3	4401	44878
PFN1P10	327	327
ALPL	2536	69014
LINC02596	821	4716
RAP1GAP	4294	73149
USP48	4419	105309
RP11-132G19.3	307	307
LDLRAD2	4016	12961
HSPG2	14341	115067
RP11-26H16.1	483	483
RP11-26H16.4	1162	6193
CELA3B	996	21621
RP1-224A6.11	1469	47012
RN7SL386P	297	297
RNU6-1022P	104	104
CELA3A	906	10886
RN7SL186P	297	297
RNU6-776P	104	104
LINC01635	1470	2059
LINC00339	1518	6666
CDC42	10598	75850
CDC42-AS1	2574	24611
RP1-224A6.10	222	222
CDC42-IT1	692	5003
MPHOSPH6P1	488	488
WNT4	3968	26657
RP1-163O16.1	811	14552
MIR4418	62	62
PPIAP34	492	492
RP11-415K20.2	1853	1853
ZBTB40	8992	102320
ZBTB40-IT1	273	2235
EPHA8	5019	40107
MIR6127	109	109
C1QA	1091	3051
C1QC	1183	4478
C1QB	1098	8876
EPHB2	11035	210662
MIR4684	82	82
RP11-69E9.1	480	1137
MIR4253	68	68
LACTBL1	1641	12296
TEX46	512	5019
KDM1A	3085	64247
RP1-184J9.2	666	67912
MIR3115	68	68
ENSG00000266802	77	77
LUZP1	8898	93786
RP5-979D14.1	818	818
RNU6-514P	107	107
RNU6-135P	101	101
HTR1D	3319	25608
RP5-1057J7.1	460	460
LINC01355	5444	6182
RP5-1057J7.8	604	5070
HNRNPR	7751	40566
ZNF436	4465	10389
ZNF436-AS1	2547	2843
RP5-1057J7.7	650	650
TCEA3	1719	43840
RP4-654C18.1	426	1315
ASAP3	4051	56006
E2F2	5196	24796
RP1-150O5.3	456	1777
ID3	950	1576
RP1-150O5.4	1322	17186
MDS2	1781	59074
RP11-223J15.2	1186	9966
RPL11	1600	5094
ELOA-AS1	1502	71396
ELOA	5154	18905
PITHD1	1590	9815
LYPLA2	1635	4395
GALE	2073	5183
HMGCL	2151	36736
FUCA1	2043	23214
CNR2	5265	42848
BTBD6P1	1267	1267
RP11-4M23.3	210	775
MIR378F	78	78
H3P1	368	368
PNRC2	2428	6624
SRSF10	7656	16581
RP11-4M23.7	328	639
RP11-293P20.2	454	45965
MYOM3	5760	56101
MYOM3-AS1	461	16792
IL22RA1	2817	23370
IFNLR1	4566	33792
LINC02800	1849	11454
GRHL3-AS1	856	14346
GRHL3	2834	45126
STPG1	6016	59936
NIPAL3	5481	57175
RCAN3AS	559	39147
RCAN3	6863	38690
NCMAP-DT	1445	17223
NCMAP	4063	53242
RP11-496D1.2	348	348
SRRM1	3735	41566
RP11-373M8.2	886	12703
CLIC4	4253	98940
RNU6-1208P	107	107
RUNX3	4340	65611
MIR6731	72	72
RUNX3-AS1	820	1753
RP11-84D1.2	2443	2443
MIR4425	84	84
LINC02793	1108	6269
RP4-799D16.1	614	69414
IFITM3P7	402	402
RP4-706G24.1	988	1299
SYF2	1962	10227
RP3-465N24.7	2190	2190
RP3-465N24.8	760	760
RSRP1	3034	95965
RP3-465N24.6	485	485
RP3-465N24.5	459	1035
RHD	3007	58053
SDHDP6	480	480
RP11-335G20.7	459	1037
TMEM50A	2266	24045
RHCE	1810	67944
RP3-469D22.1	478	478
MACO1	3940	69352
LDLRAP1	4670	25281
RP11-70P17.1	483	8879
MAN1C1	4647	169416
RP1-187B23.1	2224	14568
SELENON	4314	18029
RP1-317E23.6	568	12275
RP1-317E23.3	2307	4049
MTFR1L	3262	14303
RP1-317E23.7	222	222
AUNIP	2161	27546
RP1-125I3.2	849	3808
PAQR7	3023	14225
STMN1	2947	22811
SNRPFP2	251	251
RP1-125I3.4	140	140
MIR3917	93	93
PAFAH2	3487	38351
RNU6-110P	104	104
ENSG10010139548.1	125	125
ENSG10010134544.1	84	84
EXTL1	4020	16581
SLC30A2	3249	8867
RP11-96L14.9	941	2435
TRIM63	1770	17136
PDIK1L	4279	14391
FAM110D	2799	4884
C1orf232	1085	4863
ZNF593OS	1468	2316
ZNF593	698	966
CNKSR1	2673	12401
CATSPER4	1867	12408
ZPLD2P	2108	20100
RP11-231P20.6	899	1896
CEP85	3935	44609
RP11-231P20.5	358	358
SH3BGRL3	768	1437
UBXN11	2646	37036
CD52	581	2566
CRYBG2	6259	38383
RP11-569G9.7	346	346
ZNF683	1712	12889
LIN28A	3975	18912
DHDDS	3338	39025
RP3-476K8.4	535	535
DHDDS-AS1	1140	5259
HMGN2	1940	4203
DPPA2P2	897	897
RPS6KA1	3202	45270
MIR1976	52	52
RN7SL679P	304	304
RNU7-29P	64	64
RP11-492M19.3	238	238
ENSG10010138693.1	104	104
RP4-785J1.1	235	235
RP5-968P14.2	2000	2000
ARID1A	8595	88869
PIGV	4972	13606
RN7SL165P	291	291
RP1-50O24.8	177	177
ZDHHC18	5045	30917
SFN	1308	1308
GPN2	4665	14152
RP1-50O24.6	306	2113
GPATCH3	2125	9980
NUDC	1792	46634
NR0B2	1165	2487
KDF1	1855	10907
RPL12P13	497	811
RPL32P6	397	397
OSTCP2	444	444
TRNP1	1961	7195
TENT5B	2382	7831
SLC9A1	4737	68173
RP11-40H20.5	527	527
CHCHD3P3	640	640
NPM1P39	867	867
SNRPEP7	220	220
RP11-40H20.4	379	5247
WDTC1	5149	74005
RP11-4K3__A.3	282	599
TMEM222	2861	14256
RNU6-48P	107	107
ACTG1P20	468	468
SYTL1	2681	11918
MAP3K6	4438	12895
FCN3	1032	5715
CD164L2	1457	4158
RP1-144C9.2	355	678
GPR3	2137	3193
WASF2	5681	85938
RP4-752I6.1	428	2385
RP1-159A19.4	283	4757
AHDC1	6438	70397
FGR	2637	23122
RP1-159A19.3	192	192
LINC02574	1663	5952
IFI6	911	6149
RP11-288L9.4	658	33596
RNU6-949P	107	107
CHMP1AP1	662	662
RNU6-424P	105	105
RP3-426I6.8	935	935
FAM76A	3579	37156
RP3-426I6.2	349	349
RPEP3	676	676
STX12	3034	51225
RP3-426I6.5	184	184
RP3-426I6.6	359	359
RNU6-1245P	106	106
RP3-426I6.7	1471	3398
PPP1R8	2651	20895
SCARNA1	166	166
THEMIS2	2861	14143
RPA2	1584	23223
SMPDL3B	1913	24158
RP11-460I13.2	491	21319
XKR8	4991	8506
EYA3	5999	118294
RP11-460I13.6	367	367
RN7SL559P	297	297
SPCS2P4	681	681
RP5-1053E7.2	235	560
RP5-1053E7.3	557	873
RNU6-176P	105	105
PTAFR	4191	46771
DNAJC8	1763	33574
ATP5IF1	1855	10798
RP5-1092A3.4	1945	1945
RP5-1092A3.5	425	425
SESN2	3462	22974
MED18	1829	6964
PHACTR4	6048	130783
RP1-308E4.1	394	394
RNU6ATAC27P	119	119
RCC1	2844	33358
SNHG3	2614	4913
SNORA73A	206	206
SNORA73B	204	204
PRDX3P2	611	910
RP4-669K10.8	2083	2083
TRNAU1AP	2040	25461
SNHG12	1998	4595
SNORD99	74	74
SNORA61	130	130
SNORA44	132	132
SNORA16A	137	137
TAF12	1438	53763
RAB42	2236	3250
LINC01715	688	5354
RNU11	134	134
GMEB1	6358	50576
ENSG10010139645.1	130	130
YTHDF2	2825	33155
OPRD1	9317	59126
RP1-212P9.3	1085	6854
EPB41	6388	232956
RP4-604A21.1	331	331
Metazoa_SRP	362	290
TMEM200B	2553	4475
RP11-242O24.3	279	2501
SRSF4	8128	34158
ENSG10010136122.1	169	169
MECR	2515	38286
RP11-467D18.2	573	884
PTPRU	5573	90298
LINC01756	2148	20495
RP11-810H18.1	349	8701
RP4-656G21.1	498	697
RP11-179G8.2	1953	35423
RP11-179G8.1	493	493
LINC01648	1519	23661
RP5-893G23.1	551	1345
RP3-357I16.1	93	93
RP4-591L5.1	507	2079
RP4-591L5.2	481	5284
MATN1	3830	12309
MATN1-AS1	3925	8324
RP5-1166H10.4	1077	1735
LAPTM5	2177	25306
MIR4420	77	77
RP5-1125N11.1	444	5176
LINC01778	1732	10648
RN7SKP91	288	288
RP1-65J11.5	1747	2097
SDC3	6392	39293
RN7SL371P	267	267
PUM1	5385	134486
RP11-201O14.1	507	507
RP11-201O14.2	163	163
SELENOWP1	252	572
RP11-490K7.1	436	436
NKAIN1	2922	60143
SNRNP40	1928	37221
RP11-490K7.4	437	437
ZCCHC17	1730	67972
RP11-266K22.2	439	13733
FABP3	1097	11598
SERINC2	2807	25116
RP11-439L8.2	1342	1342
RNU6-40P	107	107
LDC1P	2270	9564
LINC01226	5019	77081
RP11-73M7.1	591	6314
TINAGL1	4759	11202
HCRTR1	2003	14833
PEF1	1614	15031
PEF1-AS1	900	16114
RP11-73M7.9	480	4678
COL16A1	5418	52057
ADGRB2	5708	37777
MIR4254	76	76
RP11-84A19.3	537	2193
SPOCD1	3960	25630
RP11-84A19.2	2257	13550
RP11-84A19.4	587	69929
PTP4A2	3910	38436
RP4-534N18.5	66	66
RP4-534N18.2	517	956
RP4-534N18.4	1873	14846
KHDRBS1	2738	46983
RP11-277A4.4	624	21184
TMEM39B	2087	30836
MIR5585	59	59
KPNA6	7355	68508
RP4-622L5.2	667	5836
TXLNA	5012	18611
CCDC28B	3507	4859
RP4-622L5.7	786	2046
IQCC	2252	3012
DCDC2B	1863	7104
TMEM234	2736	7888
EIF3I	3176	24321
MTMR9LP	2624	9963
FAM167B	947	1635
LCK	2166	34927
HDAC1	2409	41553
MARCKSL1	1546	2395
RP4-811H24.9	687	1470
TSSK3	1026	12792
FAM229A	2759	3009
BSDC1	4599	30099
GAPDHP20	1007	1007
RP11-395N6.4	341	341
LRRC37A12P	1801	3576
RN7SL122P	301	301
RP1-27O5.3	3447	135736
ZBTB8B	12831	31615
ZBTB8A	7077	66515
ZBTB8OS	1567	50732
RBBP4	7883	35070
SYNC	3503	23691
RP11-114B7.6	395	7504
KIAA1522	5493	33141
YARS1	3263	42144
