gene	maximum_effective_size	size
ALCAM	4701	209992
ALDH16A1	3995	17826
ALDH18A1	3352	50771
ALDH1A1	2096	179772
ALDH1A3	3469	38913
ALDH1B1	3028	5960
ALDH2	9561	50646
ALDH3A2	5084	37625
ALDH3B2	2783	19065
ALDH5A1	5131	42341
ALDH6A1	5462	27646
ALDH7A1	4765	64163
ALDH9A1	2696	36648
ALDOA	2534	6294
ALDOC	1722	3834
ALG11	10733	66842
ALG12	5330	18210
ALG14	9375	98547
ALG2	2966	5518
ALG3	1697	7248
ALG5	6256	51026
ALG6	3325	70979
ALG8	2904	44417
ALKBH2	1180	5444
ALKBH3	1557	39464
ALKBH4	2092	8626
ALKBH5	3159	26877
ALKBH6	3326	5120
ALKBH7	970	2457
ALPL	2536	69014
ALS2	9251	81846
ALS2CL	6593	24710
ALYREF	1097	3752
AMACR	4108	21940
AMD1	6589	24110
AMDHD2	3273	11066
AMFR	3607	64094
AMN1	1952	57980
AMOTL1	8980	170318
AMPD2	4615	15948
AMZ2	2650	52232
ANAPC1	7762	273052
ANAPC10	1674	266634
ANAPC11	2136	10202
ANAPC16	3567	19861
ANAPC1P2	2217	21178
ANAPC2	2655	13777
ANAPC5	6149	91652
ANAPC7	3023	30831
ANGPTL4	1872	11082
ANKFY1	7506	100175
ANKH	8207	166979
ANKHD1	8195	138043
ANKHD1-EIF4EBP3	8246	147662
ANKIB1	6340	155410
ANKLE2	10890	36330
ANKMY2	2599	46039
ANKRA2	2161	13478
ANKRD10	2495	36530
ANKRD13A	4241	40578
ANKRD13B	3550	24993
ANKRD13D	2768	13186
ANKRD16	2734	28291
ANKRD17	10797	185423
ANKRD22	3858	31949
ANKRD27	4432	79592
ANKRD28	7744	192536
ANKRD29	3597	63986
ANKRD46	3270	50033
ANKRD53	2185	7120
ANKRD54	2403	18473
ANKRD65	2024	3350
ANKRD9	6705	8033
ANKZF1	3245	6897
ANO8	4618	11633
ANP32A	3711	42363
ANP32B	1483	32603
ANTKMT	1686	2010
ANXA11	6965	54684
ANXA2	3528	55750
ANXA4	4418	182688
ANXA5	1638	29050
ANXA7	2443	38976
AOPEP	3130	360461
AP000696.2	1133	4353
AP000704.5	2540	8704
AP000936.1	255	255
AP001062.7	4354	4618
AP001347.6	1332	117050
AP001505.10	443	443
AP1AR	5915	41371
AP1B1	4165	60904
AP1G1	6602	80202
AP1M2	1757	14645
AP1S1	1226	7141
AP1S2	3492	29126
AP1S3	3986	86342
AP2A1	3357	40114
AP2A2	4656	87352
AP2B1	5702	148368
AP2M1	2091	9403
AP2S1	898	12711
AP3B1	3986	292373
AP3B2	6210	50832
AP3D1	5065	63481
AP3M1	4889	30588
AP3S1	1670	72490
AP3S2	5543	64040
AP4M1	3591	8797
AP5M1	11675	29819
AP5Z1	5743	18783
APAF1	7201	90144
APC2	11656	26943
APEH	2879	9958
APEX1	1803	2582
APH1A	2353	4182
APH1B	4138	33109
API5	3726	32567
APIP	4583	63286
APLN	3224	9698
APLP1	2370	11894
APLP2	3742	76665
APMAP	2202	29827
APOBEC3B	1844	10458
APOD	1210	15329
APOF	1750	2290
APOO	1159	74586
APP	3583	290579
APPBP2	6492	83085
APPL1	6069	50380
APPL2	3196	62907
APRT	931	2599
APTR	3168	38609
AQP3	2911	6441
AQR	9597	117961
AR	10667	186599
ARAF	2378	10704
ARAP1	5767	108531
ARCN1	4038	30644
ARF1	2006	16553
ARF3	4041	21765
ARF4	1601	26858
ARF5	1509	3315
ARF6	3875	3973
ARFGAP2	2937	12827
ARFGAP3	2728	61605
ARFGEF1	7320	170271
ARFGEF2	9031	114983
ARFGEF3	14859	182725
ARFIP1	3542	138527
ARFIP2	3846	6797
ARFRP1	5178	9384
ARGLU1	4009	26465
ARHGAP10	8188	340714
ARHGAP11A	5876	24798
ARHGAP29	8952	126081
ARHGAP35	9290	144081
ARHGAP5	9589	83615
ARHGAP5-AS1	1848	1848
ARHGAP6	6299	548270
ARHGDIA	1837	3658
ARHGDIB	1174	19698
ARHGDIG	1272	2561
ARHGEF11	7261	110903
ARHGEF16	2822	26449
ARHGEF19	3322	14799
ARHGEF38	5457	155474
ARHGEF39	4498	16992
ARHGEF5	5482	25345
ARHGEF7	5525	191179
ARID1A	8595	88869
ARID4B	6022	196586
ARIH1	21679	128658
ARIH2	4912	67562
ARL1	3197	14657
ARL14EP	3417	15120
ARL16	2343	2611
ARL17B	5240	87014
ARL2	1228	8025
ARL2BP	1969	8377
ARL3	3834	40667
ARL5A	5264	39509
ARL6IP1	2278	9904
ARL6IP4	1782	2854
ARL6IP5	2134	21156
ARL6IP6	3242	44504
ARL8A	1789	11340
ARLNC1	2756	66609
ARMC1	3000	31760
ARMC10	2524	24879
ARMC10P1	855	855
ARMC6	2461	26737
ARMC7	2151	20321
ARMC8	4757	111137
ARNT	4710	66996
ARPC1A	1582	40365
ARPC2	2226	37216
ARPC3	1098	15600
ARPC3P1	533	533
ARPC3P3	549	549
ARPC4	1433	14607
ARPC5	7266	14938
ARPC5L	2507	15604
ARPP19	5366	22839
ARRDC1	3185	9676
ARRDC2	3748	12971
ARRDC3	4239	14687
ARRDC4	4062	13131
ARSD	5145	25378
ARSK	3365	50002
ART3	1577	101619
ARV1	1428	21753
ARVCF	4056	46928
ASAH1	5740	29007
ASAP2	5665	198919
ASB13	2780	27729
ASB3	2648	327489
ASB6	4603	7566
ASB8	2610	33425
ASB9	1947	35180
ASCC1	2683	121103
ASCC3	8111	373179
ASF1A	2434	15020
ASF1B	1689	17102
ASH2L	2918	38584
ASL	3520	18898
ASMTL	2065	50624
ASMTL	2065	50624
ASNS	2385	20866
ASNSD1	2411	9447
ASPH	6337	214085
ASPHD1	1816	19490
ASPM	11085	62574
ASPSCR1	5503	40600
ASRGL1	2270	55965
ASS1	1973	56314
ASTN2	6878	991959
ASXL1	8056	80990
ATAD1	4640	89850
ATAD2	5547	96501
ATAD3A	2612	22524
ATAD3B	4314	26084
ATF1	2412	57453
ATF2	4164	96133
ATF4	2019	2989
ATF4P3	1056	1056
ATF5	2007	5234
ATF6	7470	211277
ATF6B	2626	12990
ATF7	6660	118555
ATG13	4348	57292
ATG2B	13162	84147
ATG3	3010	29537
ATG4B	3294	36645
ATG5	3185	280369
ATG7	4959	285357
ATG9A	4025	10338
ATIC	2275	37818
ATL1	5298	101509
ATL2	3805	83332
ATL3	6899	47835
ATMIN	5343	11509
ATN1	4702	17859
ATOX1	4341	30217
ATP11B	7315	128127
ATP11C	7019	218931
ATP13A1	4729	18479
ATP13A2	3996	25971
ATP13A3	8941	95693
ATP1A1	3763	37594
ATP1A1-AS1	4746	42865
ATP1A3	3818	30916
ATP1B1	2608	27026
ATP1B3	1951	50426
ATP2A2	8295	70338
ATP2A3	4826	40595
ATP2B1	7062	121252
ATP2B4	8918	117295
ATP2C1	4994	166118
ATP5F1A	5761	24087
ATP5F1B	1759	7810
ATP5F1C	1101	19669
ATP5F1D	1587	3080
ATP5F1E	3610	6871
ATP5F1EP2	156	156
ATP5IF1	1855	10798
ATP5MC1	2214	3107
ATP5MC2	1976	44683
ATP5MC3	2587	5453
ATP5MDP1	177	177
ATP5ME	496	1895
ATP5MG	1582	29891
ATP5MJ	1659	15982
ATP5MK	882	7452
ATP5PB	2628	13910
ATP5PD	2191	8123
ATP5PDP4	475	475
ATP5PF	1179	19171
ATP5PO	2839	12362
ATP6AP1	4515	7884
ATP6AP2	3593	27477
ATP6V0A1	4652	63739
ATP6V0A2	6507	49403
ATP6V0B	2432	3809
ATP6V0C	1093	6267
ATP6V0D1	3390	43168
ATP6V0E1	1419	51675
ATP6V0E2	4146	18237
ATP6V1A	4575	65024
ATP6V1B2	6907	29439
ATP6V1C1	5635	51989
ATP6V1D	1750	65895
ATP6V1E1	1333	36614
ATP6V1F	711	2992
ATP6V1G1	2130	11210
ATP6V1H	2365	128016
ATP7B	6613	81690
ATP8A2	9778	653878
ATPAF1	4158	41131
ATPAF2	1737	61801
ATPSCKMT	2651	24391
ATRAID	1256	5152
ATRIP	4576	20936
ATRN	8651	180101
ATRNL1	8746	855635
ATXN10	3294	173510
ATXN2	4674	156192
ATXN2L	4574	14239
ATXN7L2	4375	9326
ATXN7L3B	7596	7596
AUP1	1658	3116
AURKA	2248	22949
AURKAIP1	1072	1766
AURKB	1254	5868
AXIN1	6340	65284
AZI2	4403	34048
AZIN1	4580	67754
B2M	2403	7365
B3GALT6	2805	2805
B3GAT3	2056	6859
B3GLCT	4215	132302
B4GALNT4	3750	12619
B4GALT1	4176	63275
B4GALT2	3443	12228
B4GALT3	3178	6659
B4GALT4	5794	29215
B4GAT1	2007	2256
BABAM1	1472	13874
BACE1-AS	4584	5119
BACE2	8764	114730
BACH1	5769	436681
BAD	1157	14875
BAG1	3820	16901
BAG3	2561	26440
BAG5	4867	6113
BAG6	3920	13678
BAIAP2	3689	82313
BAIAP2-DT	4465	5752
BAIAP2L1	3645	109441
BAIAP3	4732	15804
BAK1	2212	7747
BANF1	1135	1922
BAP1	3600	9001
BARX1	1511	3729
BASP1	1807	211246
BAZ1A	5920	122917
BAZ1B	6115	81888
BAZ2A	8938	41221
BBC3	1846	11945
BBS1	3585	23008
BBS10	3568	3942
BBS2	8161	117028
BBS5	3159	27176
BBX	9009	288404
BCAM	3414	12351
BCAP29	2911	48925
BCAP31	1789	24074
BCAR3	3229	285410
BCAR3-AS1	722	13375
BCAS2	1275	14073
BCAS4	1498	82284
BCAT2	2254	15968
BCCIP	2337	30150
BCDIN3D	3226	7064
BCKDHA	1745	27195
BCKDK	2558	6685
BCL2L1	3257	59538
BCL2L12	1854	8775
BCL2L13	5062	102001
BCL3	1877	12340
BCL7A	6247	42623
BCL7B	1802	21335
BCL7C	2409	60677
BCL9L	10005	32052
BCLAF1	7719	33225
BCOR	6910	127515
BCR	6783	138334
BECN1	4865	23217
BET1	3586	41621
BET1L	2916	39645
BEX1	795	1521
BEX3	913	1770
BFAR	2903	36306
BHLHE40	3152	5887
BICD1	9419	276799
BICDL1	3055	104626
BICRA	5739	95082
BID	2495	40633
BIN1	5141	59262
BIRC2	4073	31460
BIRC5	2711	11451
BLCAP	4083	35460
BLMH	2307	43854
BLNK	4344	82417
BLOC1S1	1229	4051
BLOC1S2	2634	13401
BLOC1S4	1491	1491
BLVRA	1161	48663
BLVRB	1392	18000
BMERB1	2111	190554
BMI1	3540	10386
BMP8B	4826	31684
BMPR1B	5580	400494
BMPR2	12068	191425
BMS1P12	706	3616
BMS1P16	1147	7053
BMS1P8	1279	20189
BMS1P9	885	3577
BMX	2598	92284
BNIP3	3066	15559
BOD1	1921	9515
BOD1L1	10567	58988
BOK	2626	22708
BOLA1	1096	12909
BOLA2	1442	11909
BOLA2B	1012	1375
BOLA3	2982	12513
BOP1	2428	29394
BORCS7	2386	10703
BPGM	2051	33006
BPNT2	7224	35937
BPTF	11292	158876
BRAP	3996	43811
BRAT1	5360	17885
BRD1	4997	54230
BRD2	6084	12912
BRD3	5661	38231
BRD3OS	5682	9186
BRD7	5424	55502
BRD8	4028	39184
BRD9	4865	42511
BRF1	3809	106304
BRF2	2560	6594
BRI3	3071	58063
BRIX1	2380	10320
BRK1	1150	11516
BRMS1	1817	7793
BRMS1L	2637	105988
BRPF1	5249	16291
BRSK1	3277	30491
BRSK2	4528	72791
BRWD1	17728	137384
BRWD3	12921	140375
BSCL2	3344	20557
BSDC1	4599	30099
BSG	2314	12218
BSG-AS1	721	5019
BSPRY	2328	21693
BTBD1	3194	50830
BTBD10	2439	75290
BTBD2	2763	49444
BTBD3	5137	35887
BTBD8	5999	104421
BTD	9964	120971
BTF3	2959	7228
BTF3L4	4533	34518
BTG1	4629	5569
BTG2	2729	4112
BTG3	1485	19293
BTN2A1	3113	18718
BTNL9	3457	21297
BUB1	3762	40536
BUB1B	3669	60101
BUB3	7703	16066
BUD23	3886	22137
BUD31	1139	10976
BYSL	1718	11548
BZW1	6511	16745
BZW2	2101	60393
C10orf95-AS1	2453	11291
C11orf1	2568	7041
C11orf54	4163	23159
C11orf58	4258	145209
C11orf68	1562	2253
C11orf71	1980	9069
C11orf80	2135	99066
C11orf98	774	2394
C12orf29	3079	16315
C12orf56	4483	125997
C12orf57	980	3026
C12orf65	3819	24695
C12orf73	1730	24946
C12orf75	1329	160808
C12orf76	1964	46607
C14orf119	2914	4952
C15orf40	11274	23201
C15orf48	875	18183
C15orf61	4193	9016
C15orf65	868	10304
C16orf72	10359	29992
C17orf58	2105	5371
C17orf75	4581	25459
C17orf80	3645	16727
C18orf21	1059	6662
C18orf32	5548	10010
C19orf12	4348	16853
C19orf25	2403	18077
C19orf44	3346	24959
C19orf48	1844	7226
C19orf53	897	4318
C19orf54	3302	10698
C19orf73	742	742
C1D	2241	69819
C1GALT1C1	1636	4381
C1QBP	1169	16054
C1R	3501	12327
C1orf109	2696	10680
C1orf112	4355	192074
C1orf115	2891	8791
C1orf116	5501	14235
C1orf122	2229	2476
C1orf174	3499	11169
C1orf21	10293	241991
C1orf229	2258	2258
C1orf43	1861	13942
C1orf52	3391	9720
C1orf53	600	4738
C20orf202	1609	4826
C20orf27	1734	14274
C22orf39	3720	96344
C2CD2	6473	68907
C2CD3	8065	158493
C2orf68	4274	6813
C2orf69	3691	44643
C3orf18	2657	13003
C3orf62	3748	8637
C4orf3	2960	8027
C4orf46	3366	5581
C4orf48	477	1970
C5orf15	2188	13165
C5orf24	5083	14056
C5orf34	2502	28440
C5orf38	1441	3267
C6orf120	2667	2667
C6orf132	6385	41502
C6orf62	2452	15138
C7orf50	2621	141275
C7orf61	988	7641
C8orf34-AS1	3037	29444
C8orf76	1310	21411
C8orf82	2455	3400
C8orf86	2632	50106
C9orf152	2687	18112
C9orf16	1570	3660
C9orf78	2390	8574
CA12	6098	60469
CA5BP1	1264	28793
CAAP1	2952	52119
CAB39	3829	108234
CAB39L	3692	135415
CABIN1	7480	167437
CABLES2	3785	18654
CACFD1	2880	10884
CACNA1D	9429	484771
CACNB3	4029	15148
CACTIN	3583	16171
CACYBP	2869	12865
CADPS	5507	477071
CALCOCO2	3635	35505
CALM1	4203	11767
CALM2	4502	16839
CALM3	2960	9709
CALML4	4155	15375
CALR	1901	5912
CALU	5266	34109
CAMK1	1487	12646
CAMK2B	4545	117428
CAMK2G	3878	62091
CAMK2N1	2326	3820
CAMK2N2	1452	2341
CAMKK2	5598	60634
CAMLG	5350	13663
CAMSAP3	4179	22442
CAMTA1	8314	984253
CAMTA2	4777	19684
CAND1	11176	50596
CANT1	3534	18152
CANX	7183	53014
CAP1	3105	32417
CAPN1	3086	31441
CAPN10	4406	30972
CAPN2	4130	74426
CAPN7	4348	46765
CAPNS1	1558	10401
CAPRIN1	5514	50880
CAPRIN2	6543	45400
CAPZA1	2358	51812
CAPZA2	5068	110980
CAPZB	6180	146765
CARHSP1	3026	16071
CARM1	3295	51523
CARMIL2	4494	12582
CARNMT1	4259	47634
CARS2	3516	72192
CASC3	3890	31854
CASK	8833	408621
CASKIN2	4969	15277
CASP8AP2	6719	44543
CASP9	4463	35703
CAST	4506	254329
CASTOR1	1501	4506
CAT	2291	33127
CBFB	3134	72075
CBLL1	3987	17719
CBLN3	2476	4410
CBR1	1924	3226
CBR3	998	11484
CBR3-AS1	4651	44049
CBR4	3440	146506
CBS	2656	23753
CBSL	2656	23172
CBWD1	4534	58110
CBWD2	3305	58514
CBWD5	3326	65237
CBWD6	3334	67956
CBX1	2422	31427
CBX2	4628	9836
CBX3	2128	12446
CBX3P9	552	552
CBX4	2675	6285
CBX5	11546	49192
CBY1	1269	17219
CC2D2A	6514	131688
CCAR1	4658	71366
CCAR2	4853	16883
CCDC102A	2432	24391
CCDC110	3044	26571
CCDC115	3562	4767
CCDC117	3964	16628
CCDC12	2412	60285
CCDC124	1055	10977
CCDC125	4283	52635
CCDC127	9283	21286
CCDC137	2095	7168
CCDC138	3285	98721
CCDC167	572	16956
CCDC183	2321	11404
CCDC186	7343	53371
CCDC25	3627	39338
CCDC32	6131	36375
CCDC43	2114	16711
CCDC47	3283	31097
CCDC50	8629	69575
CCDC51	1611	8293
CCDC57	5379	111371
CCDC59	2101	135125
CCDC78	3458	4373
CCDC85B	963	963
CCDC85C	16564	104018
CCDC86	2567	8969
CCDC9	2163	17722
CCDC90B	4014	27311
CCDC92	4883	54172
CCDC97	3329	14702
CCHCR1	2958	15800
CCM2	5304	76995
CCN2	2338	3197
CCNA2	2748	7440
CCNB1	2029	11111
CCNB1IP1	1686	21945
CCNB2	2503	19920
CCNC	2212	26439
CCND1	4238	13319
CCNDBP1	3515	12060
CCNE2	3330	16909
CCNG1	2444	8583
CCNG2	5471	276182
CCNI	2759	29155
CCNK	5627	53876
CCNL1	4799	14253
CCNO	1726	2457
CCNP	1816	4490
CCNT1	6915	28541
CCNT2	6920	41108
CCNY	5068	325645
CCPG1	6822	68479
CCS	1214	12867
CCSER1	5847	1474379
CCSER2	7664	189936
CCT2	2189	16145
CCT3	2048	58906
CCT4	2376	20587
CCT5	3293	16461
CCT6A	2584	12305
CCT7	2031	19602
CCT8	1927	17993
CCT8P1	1657	1657
CCZ1	2867	27826
CCZ1B	2867	32637
CD151	1857	6945
CD164	4963	15954
CD24	2513	5797
CD27-AS1	2603	12567
CD276	3295	30549
CD2AP	5412	149475
CD2BP2	3361	4536
CD302	3932	29628
CD320	1729	6232
CD44	5431	93521
CD46	7826	43460
CD47	6796	48772
CD55	2590	65273
CD58	1328	56506
CD59	7724	33470
CD63	1233	4385
CD81	5235	21221
CD9	3345	38557
CD99	1278	50123
CD99	1278	50123
CDC123	1321	54625
CDC16	2331	37837
CDC23	3133	25694
CDC25A	3844	31272
CDC25B	3119	19350
CDC25C	2137	53087
CDC26	871	19738
CDC27	5830	71720
CDC34	1418	10333
CDC37	1618	28989
CDC37L1	3500	28841
CDC42	10598	75850
CDC42BPA	11261	328638
CDC42BPB	6844	125170
CDC42EP3	5124	96587
CDC42P6	576	576
CDC45	2072	41156
CDC5L	6241	62720
CDC6	4564	16779
CDC7	3313	24914
CDC73	5869	132833
CDCA3	2917	6500
CDCA4	2448	11511
CDCA5	2475	17865
CDCA7	3176	14178
CDCA8	2371	17239
CDH1	4811	98246
CDH3	4452	91280
CDH7	12136	140086
CDIPT	2253	5058
CDK1	1948	16522
CDK16	3158	12138
CDK17	4036	122220
CDK19	6399	205981
CDK2	2598	6009
CDK2AP1	3828	22223
CDK2AP2	1692	2153
CDK4	1865	8287
CDK5	1122	4083
CDK5R1	3948	4261
CDK5RAP2	6235	191302
CDK5RAP3	2759	13972
CDKN1A	2267	10878
CDKN1B	4335	36872
CDKN2AIP	3542	4430
CDKN2AIPNL	1228	9817
CDKN3	1070	23370
CDNF	1492	19331
CDR2	2704	91230
CDR2L	3536	18169
CDT1	2664	5470
CDV3	3621	16576
CEBPA	2601	2601
CEBPB	1839	1839
CEBPD	1252	1252
CEBPZ	3346	29985
CEBPZOS	3152	19706
CEMIP2	6152	133325
CENPA	1389	36779
CENPB	2890	2890
CENPC	6823	76742
CENPE	8742	93097
CENPH	1354	20784
CENPL	2706	25334
CENPM	1002	8416
CENPN	3928	26563
CENPQ	1741	29738
CENPU	2494	40046
CENPV	1770	11123
CENPW	809	8761
CENPX	894	5406
CEP128	4614	482535
CEP192	8635	133691
CEP20	2264	22907
CEP250	15434	64117
CEP290	13334	93084
CEP295	8014	68677
CEP350	13414	160103
CEP44	4298	49651
CEP55	2658	32481
CEP57	3141	42729
CEP68	5803	30639
CEP70	2636	100195
CEP85	3935	44609
CEP89	5673	96067
CEP95	3641	35597
CEPT1	5300	45478
CERS2	2544	14421
CERS4	2401	55686
CERS5	2998	38245
CERS6	6851	318886
CERT1	8012	155794
CETN2	1413	3764
CETN3	2406	17510
CFAP20	1605	15790
CFAP298	3516	20525
CFAP298-TCP10L	7312	210355
CFAP36	1575	25476
CFAP410	4532	10459
CFD	1191	3978
CFDP1	1293	139806
CFL1	1878	39005
CGGBP1	5298	97942
CGNL1	7214	174751
CH17-343M10.2	680	2340
CH17-408M7.2	668	891
CH507-145C22.1	2257	41982
CH507-154B10.1	5990	40514
CH507-154B10.2	936	11316
CH507-24F1.2	2380	38352
CH507-254M2.1	2247	38339
CH507-254M2.2	2247	38349
CH507-254M2.3	1032	3398
CH507-338C24.1	7632	12346
CH507-513H4.3	923	923
CH507-513H4.4	923	923
CH507-513H4.5	923	923
CH507-513H4.6	923	923
CH507-9B2.5	4564	23788
CHADL	2530	11422
CHAF1A	3366	42379
CHAF1B	4466	33624
CHASERR	2683	80162
CHCHD1	1202	1606
CHCHD10	700	2139
CHCHD2	797	4904
CHCHD2P2	321	321
CHCHD2P6	447	447
CHCHD2P9	456	456
CHCHD3	1604	297221
CHCHD4	1603	12794
CHCHD5	3272	5036
CHCHD6	1159	256181
CHD1	8145	75023
CHD1L	3344	53112
CHD2	9350	127808
CHD4	6673	44443
CHD8	8467	70933
CHEK1	4128	51093
CHEK2	2560	54680
CHERP	4084	24544
CHFR	11228	134118
CHID1	3537	47200
CHKA	2714	68586
CHMP1B	3032	3032
CHMP1B-AS1	553	1338
CHMP2A	1178	3540
CHMP3	3138	60050
CHMP4A	1266	4216
CHMP4B	1602	43019
CHMP4C	1852	27068
CHMP5	1957	17192
CHMP6	1664	17920
CHMP7	3410	18364
CHPT1	4342	47194
CHRNA2	4037	20128
CHST14	2175	2175
CHST2	4142	4244
CHSY1	4662	76322
CHTF18	4494	12692
CHTF8	2921	14579
CHTOP	2553	12325
CHURC1	3615	30231
CIAO1	3968	8015
CIAO2A	1536	21293
CIAO2B	718	2359
CIAO3	3212	11570
CIB1	1141	4073
CIBAR1	4198	32967
CINP	4270	21815
CIR1	1918	47691
CIRBP	3528	15497
CISD2	5878	23834
CISD3	2552	5265
CITED2	2382	2842
CIZ1	4259	43133
CKAP2	3629	21200
CKAP2L	4723	28316
CKAP4	3121	66399
CKAP5	7172	103261
CKB	1420	3167
CKLF	656	13689
CKMT1A	1779	6337
CKMT1B	2396	11848
CKMT2-AS1	2463	100225
CKS1B	1166	4599
CKS1BP2	240	240
CKS2	616	5509
CLCC1	6917	36144
CLCN3	6635	111041
CLDN3	1274	1274
CLDN4	4163	33149
CLDN7	1923	4081
CLDN8	2092	2092
CLDND1	2818	25155
CLEC2D	5277	34585
CLEC3A	1934	44247
CLGN	2820	39209
CLIC1	1560	9183
CLIC4	4253	98940
CLK1	3208	11736
CLK2	2702	15624
CLK3	10498	46915
CLN6	3335	50220
CLN8	7084	45934
CLNS1A	2982	122859
CLPB	10053	149186
CLPP	2410	8712
CLPTM1	2732	38757
CLPTM1L	3540	27348
CLPX	4695	37124
CLSPN	8512	49761
CLSTN1	4760	95059
CLTA	1890	113926
CLTB	1489	24039
CLTC	8587	77268
CLU	2807	17784
CLUH	5357	23278
CMAS	1748	19457
CMB9-22P13.1	844	11463
CMBL	3893	32028
CMC1	6009	83559
CMC2	10072	53823
CMC4	881	9515
CMIP	4719	266955
CMPK1	2937	45050
CMTM3	2330	10019
CMTM6	3307	21541
CMTM7	2066	91370
CMTM8	1169	131643
CNBP	3295	16096
